City,EnerCon,RD,Loan,TerInd,PubSpa,WatCon,Engle,Unemp,PopDen,GradeII,SolWas,WasWater,ConWas,PubBus,PasInt,Latitude,Longitude,Location
Beijing,0.380,4.753,20.097,77.820,60.410,56.735,30.819,1.300,1035.440,168.000,87.670,86.100,99.590,18.760,380.678,40.894,116.513,Eastern
Tianjin,0.570,2.493,15.196,49.680,41.820,43.147,32.701,3.500,1125.530,175.000,98.910,100.000,96.230,13.410,182.558,39.085,117.199,Eastern
Shijiazhuang,1.110,2.779,14.087,55.660,48.980,24.613,25.847,3.610,1818.860,97.000,95.100,95.850,71.980,11.680,205.637,38.043,114.514,Eastern
Qinhuangdao,0.960,2.763,17.193,64.650,92.870,67.342,24.000,3.370,1745.810,239.000,65.000,98.380,157.940,9.100,134.561,39.935,119.600,Eastern
Baoding,0.980,2.803,15.816,37.610,40.490,28.145,21.721,4.020,3377.680,79.000,86.200,91.390,82.370,21.190,162.130,38.874,115.465,Eastern
Taiyuan,1.580,0.248,3.304,60.300,44.770,53.097,24.657,3.400,1917.470,197.000,55.250,85.850,100.000,10.680,179.330,37.871,112.551,Western
Hohhot,0.570,0.876,22.818,77.480,40.270,26.220,26.111,3.590,618.930,240.000,39.640,81.020,98.740,20.680,299.049,40.842,111.752,Western
Shenyang,0.220,1.941,17.005,50.810,41.780,39.548,31.255,3.03,1522.440,190.000,90.200,95.000,100.000,10.550,218.606,41.806,123.432,Northeast
Dalian,0.450,3.317,25.439,44.090,44.780,37.530,28.214,2.930,1185.310,276.000,83.660,87.320,81.560,16.940,345.069,38.914,121.615,Eastern
Changchun,0.507,1.515,18.036,40.990,38.820,26.612,24.517,3.750,763.960,239.000,99.920,90.000,98.400,12.980,199.912,43.816,125.324,Northeast
Harbin,0.261,2.284,19.678,60.580,35.460,28.269,32.800,3.700,668.590,241.000,98.070,89.300,86.000,13.230,269.954,45.802,126.536,Northeast
Shanghai,0.528,4.025,20.572,64.900,38.400,73.247,35.000,4.100,2659.380,278.000,97.510,89.800,95.000,11.780,194.903,31.230,121.474,Eastern
Nanjing,0.278,2.059,17.718,56.490,44.160,59.167,26.000,2.500,984.850,188.000,91.900,65.400,92.200,12.540,161.350,32.058,118.796,Eastern
Suzhou,0.231,2.026,14.862,48.710,42.210,34.353,26.947,1.920,725.340,227.000,96.700,79.600,100.000,12.740,96.983,31.298,120.583,Eastern
Zhenjiang,0.916,1.980,8.610,47.260,42.480,21.398,28.318,1.890,950.460,240.000,98.600,79.900,100.000,11.360,53.700,32.190,119.425,Eastern
Hangzhou,0.530,2.457,24.166,57.900,40.470,37.815,27.011,1.840,1076.870,216.000,91.100,93.900,100.000,16.490,198.155,30.274,120.155,Eastern
Ningbo,0.270,2.684,19.476,47.700,38.220,31.823,29.077,1.950,932.740,302.000,90.760,81.110,100.000,19.670,84.998,29.874,121.550,Eastern
Wenzhou,0.470,2.673,21.213,51.620,38.320,68.675,31.016,1.910,1339.630,299.000,98.150,87.250,99.770,14.630,218.431,27.995,120.699,Eastern
Hefei,0.460,2.666,21.005,45.840,45.090,81.024,33.700,2.960,2177.200,151.000,93.020,87.590,100.000,17.320,284.385,31.821,117.229,Central
Fuzhou,0.580,1.965,29.951,62.880,42.890,65.890,32.555,2.420,1105.430,310.000,95.970,93.600,99.490,18.670,303.478,26.074,119.296,Eastern
Xiamen,0.480,3.253,20.296,54.670,41.870,71.354,33.200,3.030,1293.320,344.000,97.950,88.010,99.900,21.360,463.613,24.480,118.089,Eastern
Nanchang,0.531,2.103,23.075,48.040,42.090,63.431,31.700,3.500,2806.340,294.000,95.910,91.000,100.000,13.990,270.697,28.682,115.858,Central
Jinan,0.659,1.745,18.543,64.550,39.770,37.393,29.700,2.240,1092.920,107.000,99.560,95.330,100.000,14.130,228.705,36.677,117.019,Eastern
Qingdao,0.269,2.535,17.584,57.960,44.390,40.035,35.700,2.970,1125.200,236.000,95.650,98.630,100.000,17.580,284.999,36.066,120.383,Eastern
Zhengzhou,0.570,2.491,26.724,55.500,40.170,47.553,29.562,1.370,5279.210,135.000,76.770,95.890,95.000,11.810,303.187,34.747,113.625,Central
Wuhan,0.470,1.977,16.985,54.530,39.180,97.456,31.705,3.150,2962.770,177.000,98.710,93.000,100.000,15.080,288.634,30.593,114.305,Central
Changsha,0.580,2.176,18.473,54.720,35.160,112.409,26.447,2.850,1589.060,224.000,85.500,99.800,100.000,18.180,250.372,28.228,112.939,Central
Guangzhou,0.361,1.552,14.504,65.230,41.500,136.901,32.900,2.260,1808.380,282.000,94.470,98.720,86.800,19.580,378.771,23.129,113.264,Eastern
Shenzhen,0.430,2.658,14.168,57.390,45.080,296.527,33.100,2.260,1663.550,348.000,99.810,96.500,100.000,94.370,839.032,22.543,114.060,Eastern
Nanning,0.182,2.093,28.634,55.450,49.380,73.609,38.800,3.270,432.910,292.000,95.820,75.220,93.670,10.080,183.353,22.817,108.367,Western
Guilin,0.681,2.969,13.147,59.070,40.130,72.591,40.585,3.750,1373.270,250.000,85.310,86.530,96.640,9.870,221.528,25.274,110.290,Western
Haikou,0.620,2.245,27.019,74.850,42.700,14.258,34.159,1.370,723.770,346.000,100.000,95.600,100.000,9.160,190.390,20.044,110.200,Eastern
Chongqing,0.230,2.310,15.957,49.030,41.020,27.165,34.500,3.500,656.930,246.000,84.490,92.250,99.250,4.450,101.237,29.565,106.551,Western
Chengdu,0.116,1.526,26.974,54.750,32.500,90.606,34.800,2.870,2677.850,216.000,97.440,97.566,100.000,19.680,3125.396,30.570,104.065,Western
Guiyang,0.490,3.804,33.566,62.480,40.650,55.975,35.400,3.140,913.700,301.000,48.860,95.200,99.650,12.370,301.928,26.647,106.630,Western
Zunyi,1.176,2.499,13.417,56.630,32.050,44.570,34.400,2.800,681.460,281.000,94.330,83.820,79.890,7.520,297.093,27.725,106.927,Western
Kunming,2.598,1.215,33.473,56.790,41.500,48.241,27.542,2.340,599.800,350.000,36.870,90.150,100.000,19.730,307.809,24.880,102.833,Western
Xiâ€™an,0.521,1.615,24.964,55.190,42.500,45.849,29.206,3.400,1639.650,172.000,92.400,92.710,93.480,13.230,292.790,34.341,108.940,Western
Lanzhou,1.549,2.533,22.932,61.250,35.270,48.075,33.368,2.240,1473.470,247.000,98.460,83.510,19.150,11.510,378.538,36.061,103.834,Western
Urumqi,0.760,2.932,18.184,62.280,38.520,53.440,30.400,3.560,272.180,202.000,93.660,81.980,92.420,17.520,439.756,43.827,87.617,Western