City,EnerCon,RD,Loan,TerInd,PubSpa,WatCon,Engle,Unemp,PopDen,GradeII,SolWas,WasWater,ConWas,PubBus,PasInt,WP,Rank
Beijing,0.9929959684987607,1.0,0.9638610182600403,1.0,0.9625714815529859,0.9918787253882623,0.967618463279272,1.0,0.991764553638313,0.9327737049151017,0.9865105752452079,0.9684024743195961,0.9664838868200907,0.794736056328223,0.7557750272541413,28.55074387099999,1.0
Tianjin,0.9874534598672402,0.9574036897377658,0.9432945594343496,0.9275467857992696,0.9126250965522265,0.99461603682251,0.9573167139382024,0.9258692508908523,0.9907010929123188,0.9371980393892617,0.998912045123059,1.0,0.9639099662506219,0.7495601059726911,0.6727313152028688,27.83827631578648,23.0
Shijiazhuang,0.9685288730975319,0.9646057232334817,0.9375406859260883,0.9511717558170061,0.938059804725545,0.9981330111388633,0.9877345340482618,0.9165410110384598,0.9816959328623691,0.8441000983849184,0.9949630154581928,0.992046318754735,0.9414183346525318,0.7297267217119439,0.6867294374900291,27.66599051667992,28.0
Qinhuangdao,0.9743601363497699,0.9642234728103586,0.9524908984062324,0.9755050868170988,1.0,0.9896375153969557,0.9935828448821293,0.9349927459170407,0.9827218912390123,0.9676023584247259,0.9507325684498684,0.9970074637813362,1.0,0.6905570793062442,0.6346658192717453,28.016159762105037,14.0
Baoding,0.9736122874447126,0.965174872328116,0.9462955968326237,0.0,0.9059720541879305,0.9974807198157802,1.0,0.837137116364921,0.9527438397719159,0.0,0.9847017457835753,0.9822751026579765,0.9520418064790139,0.8104708408993008,0.6583720769758142,23.932556119083362,39.0
Taiyuan,0.945821376013391,0.0,0.0,0.9648699400445262,0.9247450914887722,0.992625769543917,0.9915768364642538,0.9330329915368074,0.9802778653907579,0.949362438291295,0.9257780027156466,0.9676673233759897,0.9667910371469324,0.7162736397091887,0.6706012999240585,23.858847223291068,40.0
Hohhot,0.9874534598672402,0.8841308669868464,0.9729500441417656,0.9994694183385139,0.9047764126430109,0.9978372338126852,0.9868422595879726,0.9183761723242976,0.9964180608657457,0.9679792252122531,0.8225082234630133,0.9515087977454271,0.9658424083720122,0.8073424303841706,0.7291229317438718,27.785115890977654,24.0
Shenyang,0.9973282699085548,0.9406653248001858,0.9516799396425539,0.9327494274535696,0.9124379103409128,0.9953176889832911,0.9654113331953883,0.9530403479127136,0.9857385035214066,0.9457407569902326,0.9895118218290536,0.9902924677167542,0.9667910371469324,0.7143880678687133,0.6937967772307114,27.869779349081945,22.0
Dalian,0.9910077053211992,0.976295709694802,0.9806439847204566,0.8921801537928478,0.924781427964497,0.9957070392957831,0.9791259275245907,0.9573073459762393,0.9899832618689568,0.9802651396378721,0.9814537268469838,0.9718747034474984,0.9512748182268597,0.781336778397703,0.7449603166675866,28.19639607876776,9.0
Changchun,0.9893432976688452,0.923777996850034,0.9560052014575016,0.8566164580888364,0.8960394125386939,0.9977648306019491,0.9920108032685319,0.9012504626108302,0.9948442184717732,0.9676023584247259,0.9999207512673088,0.9789064453625516,0.9655840170727197,0.7449662392441352,0.6834403223585095,27.696145630573895,27.0
Harbin,0.9962447790919388,0.9515742605483413,0.9623400768309194,0.9656098396935467,0.8658355196771041,0.9974576715557809,0.956712044328546,0.9072878561917624,0.9958844627941706,0.9683539038677433,0.9980613252334443,0.9771418467536919,0.9553696756434212,0.7476610859672276,0.7177087477471265,27.926486191849527,20.0
Shanghai,0.9887193541006646,0.9890443397442968,0.9655427913941668,0.9760663516451602,0.8931746027093612,0.9883467350573311,0.9409563328101354,0.0,0.9681321574447788,0.98088419454445,0.9974880757346083,0.9784071279134801,0.9629413539645897,0.7309807825926604,0.6804687908914193,26.082305981094205,33.0
Nanjing,0.9957902919483534,0.9446348818978554,0.954702216107302,0.9538481567711874,0.9224755972764336,0.9913732983351449,0.9872192888989548,0.9724070471477756,0.9923523734952253,0.9446666324073493,0.9914543731524105,0.0,0.9606802839899085,0.7400507923087343,0.657778198779969,26.01886686503321,35.0
Suzhou,0.997039306756689,0.9435497634369437,0.9416165138339985,0.9227027322208844,0.9144129429632841,0.9963142037087462,0.9839110656171429,0.9875632565239366,0.9952679563626498,0.9628990905810265,0.9966500682727826,0.9458576165156328,0.9667910371469324,0.7423133635496368,0.5869720074014586,27.767721849783495,26.0
Zhenjiang,0.9759757196102784,0.9420052392756407,0.8968955126757345,0.9146650348635296,0.9156128828041141,0.9987197982390151,0.9787127113042045,0.988238370068457,0.9927482165862097,0.9679792252122531,0.9985993533240952,0.9470943460290133,0.9667910371469324,0.7256090966397284,0.0,26.41929308755841,30.0
Hangzhou,0.988659621768341,0.9564368656114636,0.9770204288716554,0.9581516423909151,0.9058645905169678,0.9956522268965343,0.983679686005743,0.98934444674342,0.9912781870266879,0.9582624154364566,0.9905473454200845,0.9879513239803384,0.9667910371469324,0.7777611996194296,0.6824082888020059,28.21961861247395,6.0
Ningbo,0.9960045558045197,0.9623020379553158,0.9615937493179074,0.9172174706153916,0.8918913201547207,0.9967927394634107,0.9755921637538215,0.986879258592075,0.9929510162801627,0.9878897361111539,0.9901580545585517,0.9518505285320688,0.9667910371469324,0.800884326090685,0.5636601011660738,27.884916191085576,21.0
Wenzhou,0.9904284693040222,0.9620298757582204,0.9677448232859465,0.936227737752372,0.8926085782902837,0.9893489177148416,0.9666330464162565,0.987789269792318,0.9880831347257739,0.9870538274048402,0.9981428162697062,0.9716804365761571,0.9666189136146011,0.761616659136601,0.6937047014089678,28.11942241490182,11.0
Hefei,0.9907187222936725,0.9618560783828766,0.9670384916928543,0.9056108354732417,0.9258946161299245,0.9865963553700531,0.9508532775885771,0.9560648268294203,0.9763446481251373,0.9204976844322582,0.9927036602770529,0.9726186103368272,0.9667910371469324,0.7842694193245975,0.7235276631721586,27.96277185315117,17.0
Fuzhou,0.9871484354758047,0.9414932674172348,0.9920805115718515,0.9713862417718134,0.917379737157865,0.989950067939127,0.9581954138178872,0.9747821379701602,0.9909402478773858,0.9900683286494444,0.9958856641690667,0.987298126952747,0.9664087494862892,0.7941095378809556,0.730755333786132,28.375763603847528,4.0
Xiamen,0.9901369347639126,0.9750106400304699,0.964570953111179,0.9478242362864294,0.9128580581536503,0.9887640243654247,0.954192141727368,0.9530403479127136,0.9886606654251985,0.9986016663999474,0.9979389012353629,0.9737590993090964,0.9667162573070388,0.8114951221880797,0.7774351679939971,28.40200843241974,3.0
Nanchang,0.9886297352901751,0.9460532236867711,0.9737460031489762,0.9191193085403064,0.9138698822863426,0.9904751449908492,0.9630552037030394,0.9258692508908523,0.9653416727574297,0.9856366025676789,0.99582244336288,0.9813473219867597,0.9667910371469324,0.7554600613092263,0.7180165211002717,27.978466825536977,16.0
Jinan,0.9846876749030891,0.9334594094076638,0.9580290486444939,0.9752792176841538,0.9019418616677469,0.9957333673230627,0.9728810233282263,0.9797555801130351,0.9910885432782516,0.8677343631307453,0.9995629613358777,0.9909789138647844,0.9667910371469324,0.756837046749075,0.69897079183741,27.947461680829093,18.0
Qingdao,0.9960312902349007,0.9585134483240012,0.9541450713455067,0.9583284830816583,0.9233437996347627,0.9952232928296534,0.9346769635541948,0.9556437429295216,0.9907050282061268,0.9664583610451024,0.9955477886472683,0.9974781477445649,0.9667910371469324,0.7862326112818028,0.7237681044310434,28.20577434087408,7.0
Zhengzhou,0.9874534598672402,0.9573503599088915,0.9841087176500424,0.9506425886329216,0.9042228564013582,0.9937440482821654,0.9734940489437569,0.9987349105020502,0.0,0.9061522455287864,0.9717310255222454,0.9921277174386879,0.9629413539645897,0.7313540816563336,0.7306488601028608,26.08941254880386,32.0
Wuhan,0.9904284693040222,0.9419031783347499,0.9515930544017396,0.9473362213520902,0.898363618381686,0.9826915930528787,0.9630280986741468,0.9473888708761387,0.9621926677651369,0.9384065901762456,0.9987104766444314,0.9859719536739658,0.9667910371469324,0.7657457953129915,0.7251802289069748,27.93146370800826,19.0
Changsha,0.9871484354758047,0.9483382434939138,0.957753411870866,0.9479976178347472,0.8618579631678052,0.978862414570336,0.9856840056770267,0.9604783923357607,0.9848570346166179,0.9616674564880089,0.9838225665384257,0.9996377457746418,0.9667910371469324,0.7906363544610719,0.7092437832573616,28.04955292541864,13.0
Guangzhou,0.9935254877975973,0.9254414017369023,0.9397666409394552,0.9767998855948853,0.9111067615033197,0.971900985093896,0.9560938050184163,0.9792261204555635,0.9818443774136145,0.9821049991016187,0.994286787534828,0.9976467816219895,0.9560802601748132,0.8002908080598804,0.7552226376649046,28.242675479423365,5.0
Shenzhen,0.9915819070554394,0.9616568742915103,0.9379793085580121,0.9566283856763436,0.9258591010971701,0.0,0.9548340566250545,0.9792261204555635,0.9838533518894174,0.9995371420719298,0.999811630197365,0.9933567978532201,0.9667910371469324,1.0,0.8432558888141997,26.98874320346432,29.0
Nanning,0.9983169549920464,0.945733664315778,0.9889426286450999,0.9504763137817338,0.9391557186864193,0.9882665538186018,0.8887921734647913,0.9410138230415929,0.9983699600737257,0.9850610441754685,0.995727499125312,0.9243037431733175,0.9618772806437699,0.7072639335289258,0.67324872909235,27.773100041117868,25.0
Guilin,0.983985663726229,0.9689795447593079,0.9322113066823798,0.961514809590532,0.9039996186062319,0.9884917217030912,0.0,0.9012504626108302,0.9876595529216573,0.9716317017173431,0.9835818849933382,0.9696476793274619,0.964229618785342,0.7039111970484038,0.6953216840863171,25.83283289311693,37.0
Haikou,0.9859139959872796,0.9504246780119849,0.9848789241167281,0.9952157145469834,0.9165689895656467,1.0,0.9475788237858336,0.9987349105020502,0.9952851100677337,0.9990710465896547,1.0,0.9915352942278535,0.9667910371469324,0.6916646436973563,0.6777114355933707,28.20274920767882,8.0
Chongqing,0.9970656280999359,0.952329234811735,0.9469586000722907,0.9243432027166057,0.9087350964636176,0.9976625203132782,0.9449989799870345,0.9258692508908523,0.9960102385771544,0.9701953722948894,0.9825328966463444,0.9842756969759705,0.9662280615424842,0.0,0.5938909294220971,26.182191417628577,31.0
Chengdu,1.0,0.924277229010654,0.9847620175680878,0.9481014189033469,0.7824530808635103,0.9843552744291015,0.942613116686068,0.9597041084544683,0.9677897390860437,0.9582624154364566,0.9974160708950076,0.9954513958776522,0.9667910371469324,0.8009500828421473,1.0,28.42585397439895,2.0
Guiyang,0.9898441069239297,0.9853242803727887,1.0,0.9704180301111239,0.906823156702531,0.9920356729297891,0.9374664812541191,0.9478850203959591,0.993168049417682,0.9876122774979559,0.9013873566167439,0.990709346772165,0.9665289271977909,0.7380887917902592,0.7301869501376671,28.07495689624101,12.0
Zunyi,0.9657864627950938,0.9575634123996747,0.9337893120207184,0.954288691680647,0.0,0.9943359973432239,0.9457694812996108,0.9623637727564526,0.9957452834851129,0.9818019264317067,0.994135573349095,0.9613650852971481,0.9496635915730627,0.6556321770109651,0.7283937848522475,25.96126910458952,36.0
Kunming,0.0,0.9083081895532434,0.9998076501943141,0.9547884530065849,0.9111067615033197,0.9936065650649074,0.9817189751321606,0.9770521209527687,0.9966221731695911,1.0,0.0,0.9792784421129841,0.9667910371469324,0.8012783010074623,0.7323273044159977,24.405371946520532,38.0
Xiâ€™an,0.988927992039528,0.9281744459315215,0.9793153269991615,0.9496045784086021,0.9157005894147888,0.9940830112412539,0.9750424313274649,0.9330329915368074,0.9841775054450971,0.9353402071278761,0.992015008455407,0.9853212521575812,0.9617238189345647,0.7476610859672276,0.7267715153336627,27.993783520641088,15.0
Lanzhou,0.9475963013936405,0.9584610376009116,0.9733043209137027,0.9673465507595658,0.8633571157505726,0.9936397699841876,0.9530949005029049,0.9797555801130351,0.9863770206518189,0.9705574541173512,0.9984576548461584,0.9603458123988772,0.0,0.7275595578477121,0.755154951651718,26.07001605706431,34.0
Urumqi,0.9814009705052484,0.9681507411537692,0.9566026541591744,0.9699284366090972,0.8940110634273469,0.9925557907571824,0.9696530375633886,0.9210045726811029,1.0,0.9518280273066841,0.9934070893282845,0.9550624640365282,0.9608608554121264,0.7857826061512817,0.7716298315228187,28.14375628122807,10.0
